chnm	casn	gene_name	assay_name	assay_format_type	assay_source_name	organism	logc	resp	idx
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-1.096910013	3.864590974	138049
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.522878745	3.850163709	138050
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	-0.096910013	3.913616789	138051
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.301029996	3.25039432	138052
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	0.84509804	3.659096907	138053
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.301029996	3.30717379	138054
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	1.77815125	2.808393909	138055
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_TRANS	cell-based	ATG	human	2.301029996	2.100419879	138056
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-1.096910013	0.105777317	139540
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.522878745	-0.176653783	139541
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.096910013	0.196662693	139542
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.301029996	0.199779789	139543
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.84509804	0.109991338	139544
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.301029996	-0.203340734	139545
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.77815125	0.079932135	139546
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	2.301029996	0.155851156	139547
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-1.096910013	0.105777317	139548
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.522878745	-0.176653783	139549
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.096910013	0.196662693	139550
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.301029996	0.199779789	139551
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.84509804	0.109991338	139552
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.301029996	-0.203340734	139553
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.77815125	0.079932135	139554
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	2.301029996	0.155851156	139555
